review_id,listing_id,number_of_reviews,last_review,reviews_per_month
93,20755,16,2019-05-31,0.2
94,20853,21,2019-05-21,0.3
95,20913,168,2018-07-22,1.57
96,21293,118,2019-06-18,1.05
97,21456,81,2019-07-07,0.71
98,21644,1,2018-10-09,0.11
99,21794,30,2019-05-01,0.27
100,22911,139,2018-10-28,1.23
101,22918,11,2019-01-03,0.87
102,23135,233,2019-06-24,2.09
103,23501,68,2012-11-01,0.6
104,23686,46,2019-05-18,0.55
105,24143,335,2019-05-29,3.02
106,24285,88,2018-11-02,0.79
107,25235,162,2019-06-28,1.46
108,25406,29,2018-05-26,0.4
109,25696,170,2019-06-23,1.61
110,26012,19,2017-03-17,0.2
111,26362,334,2019-06-16,3.0
112,26520,19,2019-06-02,0.2
113,26559,12,2017-12-11,0.13
114,26785,467,2018-12-30,4.22
115,26933,7,2017-08-09,0.06
116,26954,38,2015-12-02,0.38
117,26969,324,2019-06-23,3.01
118,27006,27,2019-04-27,0.27
119,27385,115,2019-06-07,1.05
120,27531,354,2019-05-20,3.2
121,27644,195,2019-07-01,2.03
122,27659,16,2018-12-30,0.24
123,27759,13,2019-06-26,0.12
124,27883,25,2011-12-10,0.23
125,28321,9,2018-10-05,0.08
126,28396,9,2011-09-18,0.08
127,28907,21,2017-08-15,0.19
128,29012,36,2017-08-17,0.33
129,29013,63,2019-05-14,0.58
130,29455,155,2019-06-20,1.42
131,29628,260,2019-07-03,2.35
132,29683,73,2019-06-25,0.66
133,30031,193,2019-05-20,1.86
134,30927,32,2019-06-14,0.29
135,31130,50,2019-05-26,0.45
136,31555,26,2019-07-01,0.25
137,31902,2,2019-01-01,0.02
138,31994,426,2019-06-24,3.89
139,32023,227,2019-06-23,2.09
140,32037,84,2019-07-01,0.77
141,32100,3,2017-07-30,0.03
142,32289,10,2018-06-11,0.1
143,32331,4,2016-04-24,0.04
144,32363,1,2011-09-19,0.01
145,32965,124,2019-06-20,1.72
146,32969,11,2019-07-02,0.11
147,33009,240,2019-06-17,2.19
148,33014,30,2019-06-17,0.28
149,33223,200,2019-06-22,1.86
150,34760,27,2019-06-29,1.05
151,35526,79,2019-06-22,0.74
152,36121,9,2013-05-10,0.09
153,36133,155,2019-06-13,1.61
154,36442,4,2018-08-27,0.05
155,36647,34,2017-05-29,0.32
156,36703,134,2019-03-31,1.24
157,36934,27,2018-12-27,0.25
158,38638,126,2019-06-26,1.16
159,38663,23,2018-12-31,0.27
160,39267,234,2019-06-08,2.6
161,39282,202,2019-05-28,1.86
162,39593,28,2019-04-12,0.26
163,39704,309,2019-06-22,2.86
164,40039,14,2011-04-25,0.13
165,40453,4,2016-09-23,0.08
166,41348,80,2019-07-06,2.17
167,41513,2,2015-11-02,0.04
168,42580,294,2019-06-24,3.47
169,42729,150,2019-06-18,1.4
170,42882,166,2019-06-13,1.66
171,43957,47,2019-06-19,0.94
172,44096,219,2019-07-04,2.04
173,44161,193,2016-07-06,1.78
174,44212,84,2019-06-23,0.78
175,44221,114,2019-06-20,1.06
176,44229,213,2019-06-24,2.0
177,44288,86,2019-06-01,0.8
178,44506,80,2019-05-26,0.75
179,45393,38,2016-04-20,0.36
180,45542,18,2018-12-17,1.79
181,45556,206,2019-06-30,1.92
182,45910,10,2019-05-12,0.11
183,45936,122,2019-05-14,1.18
184,45940,33,2019-04-08,0.58
185,46544,52,2019-06-05,0.5
186,46723,126,2019-05-19,1.17
187,46911,51,2019-06-24,0.48
188,47199,199,2019-06-24,1.85
189,47362,30,2012-09-03,0.29
190,47370,3,2015-07-17,0.03
191,47926,41,2019-06-26,0.38
192,48719,109,2019-06-15,1.04
193,50447,151,2019-06-22,1.43
194,51438,0,,
195,51485,285,2019-06-22,2.69
196,51572,375,2019-06-18,3.52
197,51850,52,2019-05-20,0.49
198,53137,10,2019-07-01,1.01
199,53196,11,2017-11-13,0.48
200,53469,33,2015-05-09,0.31
201,53470,6,2015-10-08,0.06
202,53477,38,2019-04-27,0.38
203,54158,358,2019-06-20,3.44
204,54453,10,2014-01-07,0.09
205,54466,0,,
206,54508,226,2019-06-06,2.12
207,54544,104,2019-06-22,1.0
208,54626,138,2019-06-30,1.45
209,54860,204,2019-06-23,1.92
210,55467,253,2019-07-02,3.04
211,55498,23,2019-07-01,0.22
212,55668,115,2018-12-05,1.17
213,55737,129,2019-05-19,1.22
214,55959,82,2019-06-10,1.13
215,55982,37,2018-12-31,0.35
216,56467,204,2019-07-01,2.04
217,56525,69,2019-06-13,0.65
218,56859,192,2019-06-03,1.84
219,57166,17,2019-06-17,0.16
220,57297,222,2019-06-24,2.12
221,57468,205,2019-06-23,1.96
222,57618,94,2019-06-09,0.96
223,57740,7,2019-05-24,0.07
224,57754,108,2019-06-30,1.09
225,57874,222,2019-06-26,2.1
226,58059,458,2019-07-03,4.58
227,58062,21,2019-05-17,0.26
228,58467,17,2019-05-08,0.3
229,59014,41,2019-01-02,0.39
230,59121,1,2012-09-17,0.01
231,59642,69,2019-05-19,0.67
232,59709,18,2019-07-01,0.18
233,59855,82,2016-01-05,0.78
234,60164,94,2019-06-23,0.99
235,60457,10,2019-05-11,0.1
236,60611,183,2018-09-29,1.83
237,60666,189,2019-06-11,1.82
238,60673,1,2018-10-07,0.11
239,60680,127,2019-06-20,1.22
240,60794,4,2017-08-25,0.04
241,60948,135,2019-06-20,1.3
242,61167,21,2015-12-12,0.2
243,61224,35,2017-07-27,0.34
244,61406,10,2019-06-01,2.21
245,61492,171,2019-06-23,1.8
246,61509,92,2019-04-30,0.9
247,62095,238,2019-06-14,2.3
248,62427,56,2019-05-26,0.58
249,62430,111,2019-06-22,2.13
250,62452,193,2019-06-25,1.85
251,62461,147,2019-06-10,1.44
252,62787,177,2019-07-02,1.71
253,62891,185,2019-05-24,1.78
254,62903,62,2019-06-21,0.7
255,62925,124,2019-06-16,1.22
256,63299,181,2019-06-23,1.77
257,63320,333,2019-07-02,3.19
258,63360,441,2019-06-24,4.5
259,63546,45,2019-05-16,0.46
260,63573,9,2016-08-29,0.09
261,63588,0,,
262,63610,38,2019-06-27,0.5
263,63657,248,2019-06-25,2.39
264,63693,143,2019-06-19,1.38
265,63719,36,2018-08-19,0.41
266,63913,0,,
267,64000,14,2019-01-07,0.14
268,64015,0,,
269,64107,279,2019-06-24,2.69
270,64277,18,2019-01-02,0.22
271,64314,50,2019-05-26,3.55
272,64365,227,2019-06-27,2.27
273,64707,1,2019-01-02,0.16
274,64837,203,2019-06-23,1.96
275,65019,210,2019-07-06,2.1
276,65268,64,2019-01-05,0.67
277,65556,0,,
278,65562,5,2019-01-03,0.15
279,65615,49,2019-06-29,0.48
280,65660,132,2019-07-07,1.27
281,65813,20,2019-01-02,0.26
282,65834,11,2013-05-02,0.11
283,66008,51,2019-07-01,0.57
284,66026,15,2019-06-30,0.15
285,66251,67,2019-06-25,1.31
286,66275,109,2019-06-23,1.11
287,66451,9,2019-02-16,0.11
288,66718,187,2019-06-23,1.87
289,66741,214,2019-06-23,2.08
290,66974,69,2019-07-01,0.79
291,67288,22,2019-06-15,0.26
292,67299,56,2019-05-06,0.56
293,67397,93,2019-06-22,0.93
294,68099,104,2019-06-25,1.05
295,68305,64,2018-07-06,0.68
296,68403,127,2019-06-24,1.25
297,68735,30,2019-06-13,0.32
298,68765,106,2019-06-27,1.34
299,68900,6,2016-11-13,0.1
300,68974,191,2019-06-20,1.88
301,69894,48,2019-06-11,0.55
302,69921,47,2019-06-29,0.49
303,70095,120,2019-06-30,1.27
304,70128,52,2019-01-10,0.63
305,70609,48,2019-06-16,0.48
306,71010,32,2019-05-24,0.43
307,71248,43,2019-06-17,0.42
308,71366,39,2019-06-25,0.44
309,71384,50,2014-05-13,0.5
310,71812,4,2019-01-02,0.35
311,72190,38,2019-02-15,0.39
312,72265,29,2019-06-16,0.36
313,74073,59,2019-06-23,0.6
314,74240,68,2019-06-07,0.67
315,74333,26,2015-11-25,0.27
316,74404,31,2012-08-22,0.31
317,74680,198,2019-05-31,2.01
318,74860,1,2011-03-28,0.01
319,75193,220,2019-06-22,2.17
320,75635,286,2019-06-27,2.81
321,76761,398,2019-06-28,3.97
322,77765,36,2019-07-01,0.36
323,77936,36,2019-06-14,0.36
324,78919,6,2016-02-05,0.1
325,79067,14,2019-04-20,0.3
326,79782,76,2019-03-31,0.76
327,80493,182,2019-07-04,1.81
328,80684,8,2016-03-27,0.09
329,80700,7,2019-05-24,0.07
330,80924,34,2018-09-25,0.51
331,81739,2,2011-05-12,0.02
332,82549,66,2016-09-16,0.68
333,82550,80,2019-06-30,0.85
334,82638,240,2019-06-06,2.4
335,82928,46,2019-07-02,1.07
336,83243,228,2019-06-10,2.27
337,83446,5,2018-09-03,0.05
338,83722,8,2018-08-26,0.11
339,83847,33,2019-01-02,0.33
340,84010,13,2019-06-27,0.14
341,84059,5,2018-07-22,0.05
342,84659,388,2019-06-26,3.88
343,84905,223,2019-06-23,2.22
344,85094,11,2019-01-14,0.11
345,86215,151,2019-06-24,1.51
346,89427,0,,
347,89621,218,2019-06-28,2.26
348,93313,75,2019-06-23,0.76
349,94035,42,2019-07-06,1.21
350,94209,0,,
351,94477,370,2019-07-05,3.74
352,94783,104,2019-06-21,1.04
353,95747,13,2016-07-18,0.13
354,95883,4,2018-12-26,0.07
355,96471,11,2019-06-07,0.11
356,98330,1,2012-01-03,0.01
357,98663,19,2018-06-11,0.19
358,99070,131,2019-05-26,1.31
359,99085,15,2019-05-01,0.15
360,100002,136,2019-06-17,1.37
361,100184,43,2019-07-08,0.45
362,100186,98,2019-06-28,0.99
363,101053,31,2019-03-01,0.31
364,102995,45,2018-01-01,0.46
365,103161,124,2019-06-26,1.76
366,103311,9,2018-05-19,0.09
367,103806,166,2019-05-27,1.68
368,105469,13,2015-09-21,0.13
369,105510,15,2019-01-05,0.16
370,106363,380,2019-06-26,3.83
371,106647,86,2019-06-16,0.87
372,107630,248,2019-06-20,2.53
373,107895,49,2019-06-19,0.56
374,110739,54,2019-07-03,0.57
375,112100,3,2013-01-01,0.03
376,112304,1,2016-01-02,0.02
377,112359,56,2018-12-28,0.57
378,112435,163,2019-05-24,1.66
379,113265,247,2019-06-21,2.51
380,113945,116,2019-05-11,1.17
381,114123,27,2019-05-19,0.28
382,114229,52,2019-06-08,0.6
383,114969,39,2018-09-24,0.4
384,115535,35,2019-06-01,0.35
385,115678,320,2019-06-23,3.23
386,115748,30,2019-06-16,0.32
387,116940,225,2019-06-24,2.27
388,117425,95,2018-05-26,0.96
389,118061,70,2019-06-28,0.75
390,118430,35,2019-01-03,0.36
391,118680,0,,
392,120362,50,2019-07-02,0.51
393,121687,29,2019-06-23,0.31
394,121861,23,2016-05-02,0.23
395,123784,142,2019-06-16,1.44
396,125053,70,2019-07-01,0.73
397,125163,38,2019-06-03,0.54
398,125594,82,2019-05-19,0.94
399,126443,403,2019-07-07,4.1
400,126816,3,2014-11-06,0.03
401,127387,3,2014-08-04,0.03
402,128975,116,2019-06-13,1.18
403,131154,175,2019-07-07,1.79
404,132516,28,2019-07-01,1.21
405,132570,24,2017-12-26,0.25
406,132695,15,2016-06-06,0.15
407,133025,105,2019-06-06,1.07
408,134934,22,2019-05-30,0.38
409,135393,263,2019-06-24,2.69
410,135465,86,2019-06-20,0.91
411,135706,10,2017-01-01,0.1
412,136493,18,2019-05-27,0.21
413,138216,8,2018-07-08,0.21
414,139624,70,2019-01-31,0.73
415,140133,150,2019-07-05,1.55
416,140425,115,2017-05-25,1.18
417,140973,69,2019-05-26,0.71
418,141154,232,2019-06-22,2.41
419,141335,35,2018-01-13,0.41
420,141890,18,2013-10-01,0.21
421,141984,68,2019-06-10,0.69
422,142069,22,2014-11-10,0.23
423,144087,17,2019-05-18,0.17
424,144148,34,2016-01-05,0.58
425,145064,8,2014-06-06,0.08
426,145188,0,,
427,145994,2,2018-07-06,0.08
428,146754,52,2019-04-27,0.72
429,147586,74,2019-06-16,0.76
430,148201,18,2013-05-31,0.19
431,148259,72,2019-05-11,0.86
432,148825,191,2019-06-29,2.18
433,149287,0,,
434,149777,197,2019-06-23,2.49
435,150804,19,2019-07-06,0.2
436,151199,414,2019-07-03,4.34
437,151478,8,2018-12-11,0.09
438,152071,0,,
439,152078,25,2019-02-12,0.3
440,152259,119,2019-05-28,1.22
441,152263,203,2019-07-06,2.14
442,152520,53,2018-11-16,0.55
443,153405,104,2019-06-16,1.09
444,153780,175,2019-06-28,1.8
445,154934,38,2018-05-08,0.42
446,155296,39,2019-05-02,0.5
447,157673,88,2019-06-16,0.91
448,158061,27,2017-10-08,0.28
449,158176,117,2019-06-29,1.28
450,158290,43,2019-05-20,0.44
451,158913,4,2015-03-13,0.05
452,158955,385,2019-06-29,4.0
453,159749,64,2019-07-01,0.68
454,159815,39,2019-06-24,0.41
455,159913,37,2019-07-03,1.79
456,160609,10,2019-01-01,0.12
457,160994,103,2019-06-24,1.08
458,161366,41,2019-06-01,0.43
459,161394,3,2014-08-31,0.03
460,161996,227,2019-06-26,2.33
461,162493,37,2018-12-27,0.79
462,162508,29,2019-06-28,0.35
463,163627,205,2017-12-31,2.31
464,163809,42,2019-06-03,0.44
465,163814,280,2019-07-05,2.92
466,163836,86,2019-06-08,0.89
467,164989,54,2019-06-16,0.56
468,165080,7,2018-08-29,0.07
469,165461,57,2019-01-01,0.59
470,165824,31,2019-05-01,0.32
471,166006,188,2018-08-23,1.94
472,166172,480,2019-07-07,6.7
473,166541,34,2019-06-15,0.35
474,166983,6,2015-08-08,0.06
475,167013,3,2018-05-13,0.04
476,167017,2,2014-08-31,0.03
477,167222,20,2018-08-24,0.21
478,167482,129,2019-06-07,1.33
479,168084,147,2019-06-30,1.6
480,168123,101,2019-07-01,1.06
481,168546,11,2016-01-02,0.12
482,168810,11,2013-10-15,0.12
483,169002,41,2019-06-16,0.43
484,169152,87,2017-04-18,1.09
485,169306,117,2019-05-21,1.21
486,169464,86,2019-05-16,0.89
487,169483,0,,
488,170420,15,2016-02-15,0.16
489,170761,35,2019-07-02,0.55
490,171776,17,2015-10-01,0.18
491,172700,3,2016-02-15,0.04
492,172870,43,2018-01-03,0.47
493,173072,168,2019-07-06,4.6
494,173151,241,2019-06-24,2.49
495,173742,105,2019-06-23,1.13
496,174527,11,2018-10-28,0.46
497,174966,30,2018-05-05,0.33
498,176135,31,2018-10-23,0.32
499,176653,49,2019-05-07,0.51
500,176962,23,2019-04-13,0.24
501,177421,20,2019-06-24,0.21
502,177495,18,2019-06-24,0.9
503,177606,90,2019-06-23,0.95
504,179670,99,2019-06-27,1.04
505,179741,6,2019-06-28,0.06
506,180507,21,2018-12-01,0.22
507,180792,24,2019-04-04,0.26
508,181972,111,2019-06-02,1.17
509,182069,86,2019-06-20,0.91
510,182095,66,2019-04-29,0.69
511,182177,271,2019-06-20,2.84
512,182649,227,2019-06-18,2.4
513,185266,80,2019-07-06,1.55
514,187488,5,2018-12-03,0.07
515,187566,187,2019-06-10,1.97
516,187986,2,2015-08-28,0.02
517,188146,1,2016-01-01,0.02
518,188661,67,2018-10-20,0.7
519,188674,63,2018-01-12,0.68
520,189135,89,2019-07-01,1.0
521,189181,1,2014-04-20,0.02
522,189732,177,2019-06-29,1.86
523,189787,90,2019-06-30,0.94
524,190267,39,2019-07-07,0.41
525,190542,42,2019-05-18,0.44
526,190968,33,2019-05-08,0.35
527,190974,179,2019-05-29,2.02
528,191075,81,2019-03-28,0.85
529,193105,43,2019-06-29,0.45
530,193333,52,2018-10-31,0.54
531,193393,160,2019-06-25,1.68
532,193853,23,2018-05-21,0.27
533,194154,35,2017-06-18,0.37
534,195123,225,2019-06-12,2.35
535,195233,401,2019-07-04,6.62
536,195240,72,2019-06-17,0.84
537,195578,46,2018-12-30,0.97
538,195971,83,2019-06-23,1.19
539,195989,211,2019-06-15,2.21
540,196010,15,2015-06-14,0.16
541,197155,122,2019-06-23,1.29
542,197753,295,2019-06-12,3.9
543,197942,207,2019-07-07,2.18
544,199195,50,2019-03-30,0.65
545,199312,273,2019-06-24,2.85
546,200645,0,,
547,200955,25,2018-04-30,0.26
548,201992,105,2019-05-11,1.62
549,202273,72,2016-12-26,0.76
550,203901,8,2016-09-18,0.08
551,204065,58,2019-06-04,0.61
552,204833,8,2015-09-17,0.09
553,204959,172,2019-07-02,1.84
554,205043,330,2019-06-20,7.14
555,205485,123,2019-06-11,1.29
556,205735,55,2019-04-30,0.59
557,205867,87,2019-07-03,0.99
558,206071,258,2019-06-25,2.7
559,206316,4,2018-08-27,0.18
560,206772,31,2019-05-26,0.33
561,206957,128,2016-11-15,1.34
562,208148,14,2015-08-31,0.15
563,208889,30,2019-06-24,0.32
564,209310,258,2019-05-28,2.9
565,211078,228,2018-04-25,2.39
566,211974,60,2019-07-01,0.65
567,212109,9,2019-06-30,0.2
568,212178,179,2019-06-19,1.88
569,212544,9,2016-06-23,0.1
570,213272,1,2019-04-21,0.37
571,213330,25,2018-08-29,0.49
572,214917,2,2018-02-08,0.05
573,215560,152,2019-06-25,1.6
574,215784,24,2019-03-31,0.25
575,215907,45,2019-04-22,0.47
576,217580,7,2018-11-14,0.08
577,218358,19,2019-06-03,0.35
578,219066,24,2019-01-19,0.26
579,219482,8,2017-10-14,0.09
580,219793,29,2015-06-03,0.31
581,219818,14,2015-07-20,0.15
582,219922,33,2019-05-25,0.38
583,220351,99,2019-02-28,1.04
584,220563,59,2017-01-05,0.62
585,220946,142,2019-06-16,1.5
586,221043,0,,
587,221097,22,2019-03-15,0.23
588,221618,82,2019-05-21,0.87
589,222054,23,2018-09-15,0.24
590,222304,32,2019-05-08,0.34
591,223930,24,2019-06-23,0.25
592,224004,59,2018-10-26,0.63
593,224006,6,2015-01-02,0.08
594,224510,18,2018-07-05,0.21
595,225297,3,2018-12-26,0.03
596,225306,115,2019-07-05,1.21
597,225887,154,2019-06-19,1.63
598,225926,164,2019-07-01,1.73
599,225976,76,2019-06-13,0.8
600,226021,116,2019-06-30,1.23
601,227715,234,2019-06-30,2.47
602,227735,120,2019-06-24,1.27
603,228317,82,2019-05-18,0.87
604,228496,13,2019-05-26,0.15
605,228517,59,2019-06-24,0.64
606,228925,63,2019-06-26,1.87
607,228979,52,2018-08-14,0.55
608,229367,278,2019-07-03,2.95
609,229874,1,2012-01-02,0.01
610,230321,35,2019-06-09,0.4
611,230854,235,2019-06-29,2.49
612,230877,115,2019-06-30,1.21
613,230956,109,2015-10-02,1.15
614,231414,1,2013-07-09,0.01
615,232612,305,2019-06-27,3.24
616,232618,102,2019-06-18,1.52
617,233189,83,2019-05-31,0.88
618,233638,19,2018-07-31,0.25
619,233662,61,2019-05-18,0.65
620,234184,89,2019-06-30,0.94
621,234870,65,2017-07-31,0.74
622,235552,40,2019-06-16,0.44
623,235651,80,2019-04-26,0.86
624,235951,136,2019-06-19,1.45
625,235960,100,2018-05-28,1.06
626,236671,125,2019-07-06,1.36
627,236788,40,2019-04-14,0.5
628,236806,0,,
629,237127,139,2019-04-28,1.59
630,237210,0,,
631,239055,2,2014-10-06,0.03
632,239733,49,2019-06-26,0.53
633,239766,8,2018-05-18,0.11
634,239826,0,,
635,239883,124,2019-05-25,1.32
636,239899,5,2018-12-19,0.12
637,240800,147,2019-06-30,1.57
638,241140,43,2019-04-14,0.46
639,241159,8,2019-01-03,0.33
640,241862,37,2019-01-02,0.39
641,242532,120,2019-06-19,1.28
642,242643,24,2019-01-01,0.29
643,243229,5,2017-07-09,0.05
644,243708,242,2019-04-01,2.59
645,245504,229,2019-06-21,2.45
646,245544,108,2019-06-19,1.36
647,245574,181,2019-06-05,1.92
648,245607,34,2019-07-01,0.39
649,246134,5,2016-10-02,0.05
650,246351,5,2015-08-17,0.06
651,246916,60,2019-06-25,0.64
652,246938,238,2019-06-23,2.59
653,248865,34,2019-04-22,0.37
654,248871,131,2019-06-24,1.4
655,249414,6,2017-06-28,0.16
656,249618,4,2015-07-03,0.06
657,249867,7,2018-10-07,0.08
658,250259,125,2019-07-07,3.04
659,250311,0,,
660,250323,49,2014-12-03,0.58
661,250536,11,2017-09-25,0.12
662,250537,0,,
663,250801,107,2019-05-23,1.15
664,251262,241,2019-06-29,2.6
665,251277,176,2019-06-29,1.89
666,252076,151,2019-06-16,1.63
667,252607,49,2018-08-09,0.53
668,253332,13,2018-09-01,0.14
669,253466,33,2019-06-24,0.47
670,253471,24,2018-11-06,0.32
671,253475,59,2019-06-24,0.66
672,253548,2,2015-06-25,0.04
673,253590,16,2019-06-28,0.23
674,253623,72,2018-11-26,0.77
675,253800,24,2019-04-25,0.26
676,253803,23,2019-06-22,0.26
677,253806,43,2019-07-02,0.47
678,253811,30,2019-07-03,0.32
679,253815,39,2019-06-29,0.44
680,253828,8,2018-07-26,0.09
681,253839,3,2015-11-03,0.03
682,253842,6,2018-04-19,0.1
683,253846,4,2015-12-04,0.05
684,254131,56,2019-07-06,0.66
685,254168,7,2018-11-16,0.08
686,254409,2,2014-01-13,0.03
687,255024,178,2019-06-24,2.69
688,255476,30,2019-05-31,0.8
689,255601,190,2019-06-23,2.04
690,255957,25,2019-06-30,0.27
691,256078,81,2019-05-31,0.98
692,256328,7,2019-06-22,0.08
693,256369,216,2019-07-01,2.31
694,257097,31,2019-01-28,0.33
695,257568,53,2017-08-12,0.57
696,257787,247,2019-06-21,2.65
697,258284,233,2019-04-10,2.5
698,258397,135,2019-06-24,1.45
699,258686,20,2015-12-30,0.23
700,258688,46,2019-06-02,0.5
701,258690,10,2014-10-26,0.12
702,258740,143,2018-06-30,2.83
703,258838,21,2019-05-22,0.26
704,258876,0,,
705,259946,8,2019-05-19,0.09
706,260451,4,2017-08-28,0.05
707,260765,314,2019-07-01,3.45
708,261194,18,2019-06-18,0.25
709,261259,11,2015-05-27,0.12
710,261344,51,2019-06-02,0.55
711,261674,20,2017-04-01,0.33
712,261781,8,2017-12-30,0.12
713,262343,59,2019-06-06,0.63
714,262405,54,2019-06-24,0.62
715,262478,10,2018-12-31,0.46
716,262583,153,2019-06-25,1.66
717,263005,110,2019-06-02,1.2
718,263190,69,2019-01-01,0.91
719,263232,1,2019-01-27,0.18
720,263502,24,2015-08-19,0.26
721,263776,95,2019-01-02,1.02
722,263888,129,2019-04-28,1.41
723,264323,171,2019-03-31,1.84
724,265036,20,2019-06-09,0.59
725,265064,17,2017-05-03,0.27
726,265145,8,2015-01-08,0.09
727,265506,11,2015-11-01,0.12
728,265831,5,2018-07-05,0.09
729,265912,0,,
730,266146,36,2019-03-19,0.39
731,266155,16,2019-03-31,0.17
732,266351,5,2018-07-12,0.12
733,266437,0,,
734,266449,68,2019-06-03,0.77
735,266756,89,2018-06-30,0.99
736,267376,10,2019-06-24,1.02
737,267435,38,2019-07-01,0.85
738,267535,15,2019-06-09,0.17
739,267652,20,2019-01-21,0.42
740,267708,25,2019-06-15,0.96
741,268392,35,2019-05-27,0.42
742,268481,1,2013-09-24,0.01
743,268868,64,2019-06-02,0.7
744,269283,26,2019-02-16,0.33
745,269889,244,2019-06-25,2.74
746,270139,21,2019-01-15,0.29
747,270231,270,2019-07-07,2.95
748,270315,16,2019-03-27,0.19
749,270345,24,2019-06-27,0.26
750,270680,30,2019-06-28,0.33
751,270681,5,2015-09-07,0.06
752,271083,115,2019-06-12,1.25
753,271128,9,2019-06-25,0.19
754,271130,45,2019-05-26,0.52
755,271694,19,2015-09-08,0.21
756,271950,5,2018-12-31,0.08
757,271954,203,2019-06-20,2.22
758,272026,20,2018-01-02,0.41
759,272044,49,2018-10-27,0.53
760,272427,6,2019-04-21,0.07
761,272706,7,2017-06-18,0.08
762,272738,35,2019-06-30,0.38
763,273190,28,2018-09-25,0.31
764,273256,0,,
765,274062,54,2019-06-24,0.88
766,274329,115,2019-06-25,1.75
767,274376,6,2019-06-24,0.13
768,274743,1,2014-08-31,0.02
769,275976,204,2019-06-30,2.31
770,276216,1,2016-09-01,0.03
771,276317,89,2019-06-23,0.97
772,276482,130,2019-06-02,1.42
773,277207,15,2019-06-08,0.25
774,277370,52,2019-05-13,0.6
775,277883,58,2017-12-29,0.63
776,278090,208,2019-06-11,2.32
777,278145,3,2017-06-20,0.03
778,278631,7,2013-04-21,0.08
779,278876,1,2017-03-18,0.04
780,279093,2,2018-04-10,0.06
781,279857,122,2019-07-02,1.37
782,279969,63,2019-06-18,0.72
783,280315,26,2014-10-31,0.28
784,281521,1,2012-10-02,0.01
785,281756,14,2019-06-19,0.16
786,281851,107,2019-06-25,2.38
787,282341,3,2017-07-30,0.05
788,282443,107,2019-05-18,1.17
789,282514,29,2019-06-25,1.57
